#,Name,Date of birth,From,Died in the area of,Rank,Military Unit,Sources
1201,Volodymyr Tkachuk Romanovych,"February 23, 1972","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Zhytomyr Oblast,Sergeant,Battalion 2,"https://example1.com, https://example10.com, https://example3.com, https://example4.com, https://example9.com, https://example8.com, https://example3.com, https://example7.com"
1202,Oleh Hrytsenko Oleksandrovych,"July 27, 1997",Lviv Oblast,Kyiv Oblast,Colonel,Recon Squad,"https://example8.com, https://example2.com, https://example4.com, https://example10.com, https://example7.com"
1203,Yuriy Hrytsenko Oleksandrovych,"June 29, 1995","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Captain,Special Forces,"https://example3.com, https://example3.com, https://example6.com"
1204,Oleksandr Bondarenko Mykolayovych,"July 29, 1979",Kyiv Oblast,Kharkiv Oblast,Lieutenant,Recon Squad,"https://example3.com, https://example2.com, https://example5.com"
1205,Yuriy Bibikov Yuriyovych,"January 14, 1981",Donetsk Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Battalion 1,"https://example6.com, https://example5.com, https://example4.com"
1206,Oleksandr Tkachuk Yuriyovych,"March 17, 1979",Odesa Oblast,Kyiv Oblast,Colonel,Battalion 1,"https://example8.com, https://example7.com, https://example4.com, https://example3.com, https://example3.com"
1207,Mykola Bibikov Ivanovych,"July 28, 1992","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kharkiv Oblast,Lieutenant,Battalion 1,"https://example8.com, https://example6.com, https://example3.com, https://example1.com, https://example6.com, https://example5.com, https://example2.com"
1208,Serhiy Shevchenko Volodymyrovych,"February 26, 1994",Odesa Oblast,Donetsk Oblast,Major,Unknown,"https://example7.com, https://example1.com, https://example6.com, https://example8.com"
1209,Andrij Kravchenko Ivanovych,"September 10, 1997","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Captain,Infantry,"https://example4.com, https://example8.com, https://example1.com, https://example7.com"
1210,Volodymyr Sakalo Yuriyovych,"November 04, 1971",Donetsk Oblast,Kharkiv Oblast,Sergeant,Special Forces,"https://example8.com, https://example2.com, https://example3.com, https://example5.com, https://example1.com, https://example2.com"
1211,Oleksandr Bibikov Romanovych,"July 10, 1975","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lieutenant,Unknown,"https://example8.com, https://example3.com, https://example9.com, https://example3.com, https://example3.com, https://example3.com, https://example10.com, https://example7.com"
1212,Yuriy Sakalo Vasyl'ovych,"March 08, 1976",Lviv Oblast,Kharkiv Oblast,Private,Battalion 1,"https://example10.com, https://example7.com, https://example9.com, https://example4.com, https://example1.com, https://example3.com"
1213,Serhiy Sakalo Serhiyovych,"January 28, 1992",Kyiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Infantry,"https://example5.com, https://example2.com, https://example8.com, https://example1.com"
1214,Yuriy Sakalo Petrovych,"June 15, 1963",Donetsk Oblast,Zhytomyr Oblast,Captain,Battalion 1,"https://example10.com, https://example5.com, https://example6.com, https://example10.com, https://example10.com, https://example1.com, https://example1.com, https://example4.com"
1215,Mykola Bondarenko Petrovych,"October 15, 1969",Donetsk Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Sergeant,Battalion 2,"https://example8.com, https://example9.com, https://example3.com"
1216,Andrij Hrytsenko Ivanovych,"May 30, 1987",Odesa Oblast,Lviv Oblast,Sergeant,Recon Squad,"https://example1.com, https://example6.com, https://example2.com, https://example7.com"
1217,Yuriy Bondarenko Romanovych,"December 04, 1981",Lviv Oblast,Zhytomyr Oblast,Private,Battalion 1,"https://example7.com, https://example9.com, https://example3.com, https://example6.com, https://example9.com, https://example5.com"
1218,Oleh Kovalenko Volodymyrovych,"May 24, 1963",Zhytomyr Oblast,Lviv Oblast,Major,Infantry,"https://example9.com, https://example1.com, https://example2.com, https://example6.com, https://example4.com, https://example8.com, https://example6.com, https://example1.com"
1219,Dmytro Tkachuk Volodymyrovych,"March 23, 1974",Kharkiv Oblast,Zhytomyr Oblast,Lieutenant,Battalion 1,"https://example5.com, https://example3.com, https://example2.com, https://example7.com, https://example1.com, https://example1.com, https://example3.com"
1220,Volodymyr Zinchenko Mykhailovych,"May 05, 1993",Lviv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Major,Special Forces,"https://example9.com, https://example6.com, https://example5.com, https://example8.com, https://example9.com"
1221,Andrij Hrytsenko Vasyl'ovych,"November 02, 1965",Zhytomyr Oblast,Chernivtsi Oblast,Sergeant,Battalion 2,"https://example1.com, https://example2.com, https://example3.com, https://example4.com, https://example3.com, https://example10.com"
1222,Roman Sakalo Romanovych,"September 12, 1977","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Odesa Oblast,Colonel,Unknown,"https://example7.com, https://example10.com, https://example10.com, https://example4.com"
1223,Oleh Sakalo Serhiyovych,"May 29, 1991",Kharkiv Oblast,Donetsk Oblast,Lieutenant,Special Forces,"https://example3.com, https://example7.com, https://example8.com"
1224,Oleksandr Lysenko Oleksandrovych,"March 16, 1976",Donetsk Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Special Forces,"https://example3.com, https://example6.com, https://example2.com, https://example9.com, https://example6.com, https://example3.com, https://example10.com"
1225,Serhiy Zinchenko Serhiyovych,"August 24, 1985",Kyiv Oblast,Donetsk Oblast,Private,Infantry,"https://example10.com, https://example6.com, https://example2.com, https://example4.com, https://example4.com"
1226,Oleksandr Bondarenko Ivanovych,"December 10, 1991",Chernivtsi Oblast,Zhytomyr Oblast,Senior soldier,Battalion 1,"https://example10.com, https://example7.com, https://example3.com, https://example5.com"
1227,Yuriy Kovalenko Mykolayovych,"December 25, 1998",Odesa Oblast,Zhytomyr Oblast,Major,Recon Squad,"https://example1.com, https://example7.com, https://example3.com"
1228,Andrij Kovalenko Oleksandrovych,"September 25, 1976","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Battalion 1,"https://example10.com, https://example8.com, https://example3.com, https://example4.com, https://example10.com, https://example1.com, https://example5.com"
1229,Andrij Kovalenko Oleksandrovych,"December 20, 1981",Zhytomyr Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Senior soldier,Battalion 2,"https://example6.com, https://example8.com, https://example8.com, https://example7.com, https://example6.com"
1230,Yuriy Bondarenko Yuriyovych,"January 08, 1994","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Odesa Oblast,Private,Battalion 2,"https://example5.com, https://example7.com, https://example5.com, https://example8.com, https://example9.com"
1231,Andrij Tkachuk Oleksandrovych,"March 30, 1960",Zhytomyr Oblast,Donetsk Oblast,Major,Battalion 2,"https://example1.com, https://example8.com, https://example8.com, https://example2.com"
1232,Roman Bondarenko Vasyl'ovych,"November 24, 1965",Chernivtsi Oblast,Lviv Oblast,Private,Recon Squad,"https://example7.com, https://example9.com, https://example4.com, https://example3.com"
1233,Mykola Tkachuk Volodymyrovych,"April 30, 1988",Odesa Oblast,Zhytomyr Oblast,Sergeant,Unknown,"https://example4.com, https://example8.com, https://example9.com, https://example1.com, https://example10.com, https://example4.com"
1234,Mykola Kovalenko Romanovych,"September 09, 1985",Donetsk Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lieutenant,Recon Squad,"https://example8.com, https://example9.com, https://example9.com, https://example8.com, https://example5.com, https://example10.com, https://example5.com, https://example5.com"
1235,Dmytro Bibikov Vasyl'ovych,"April 15, 1962",Kyiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Infantry,"https://example8.com, https://example9.com, https://example3.com, https://example8.com, https://example4.com, https://example1.com, https://example4.com"
1236,Yuriy Shevchenko Romanovych,"November 12, 1980",Donetsk Oblast,Kharkiv Oblast,Major,Special Forces,"https://example4.com, https://example6.com, https://example6.com, https://example8.com, https://example3.com, https://example1.com"
1237,Dmytro Kovalenko Mykolayovych,"November 25, 1970",Kyiv Oblast,Donetsk Oblast,Sergeant,Battalion 1,"https://example4.com, https://example2.com, https://example1.com"
1238,Volodymyr Shevchenko Ivanovych,"January 23, 1989","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Battalion 1,"https://example4.com, https://example10.com, https://example2.com, https://example10.com, https://example5.com, https://example3.com, https://example8.com"
1239,Ihor Bondarenko Volodymyrovych,"July 01, 2000","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Major,Battalion 2,"https://example9.com, https://example5.com, https://example5.com, https://example3.com, https://example2.com, https://example10.com, https://example10.com, https://example8.com"
1240,Serhiy Kravchenko Oleksandrovych,"July 26, 1969",Kharkiv Oblast,Kharkiv Oblast,Major,Infantry,"https://example6.com, https://example4.com, https://example1.com, https://example8.com, https://example6.com, https://example6.com"
1241,Andrij Hrytsenko Petrovych,"May 11, 1973","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Infantry,"https://example8.com, https://example5.com, https://example10.com, https://example7.com, https://example8.com, https://example5.com, https://example7.com"
1242,Yuriy Kravchenko Romanovych,"November 19, 1964","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Chernivtsi Oblast,Private,Special Forces,"https://example10.com, https://example7.com, https://example7.com, https://example8.com, https://example2.com"
1243,Yuriy Shevchenko Oleksandrovych,"October 22, 1977",Donetsk Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Special Forces,"https://example10.com, https://example9.com, https://example9.com, https://example1.com, https://example7.com"
1244,Volodymyr Sakalo Serhiyovych,"January 02, 1976","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Chernivtsi Oblast,Lieutenant,Special Forces,"https://example8.com, https://example4.com, https://example5.com, https://example5.com, https://example9.com"
1245,Oleksandr Hrytsenko Romanovych,"February 08, 1994","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kharkiv Oblast,Sergeant,Battalion 2,"https://example10.com, https://example2.com, https://example1.com, https://example7.com, https://example10.com"
1246,Mykola Lysenko Romanovych,"May 06, 1977",Chernivtsi Oblast,Odesa Oblast,Colonel,Unknown,"https://example2.com, https://example5.com, https://example6.com, https://example7.com, https://example5.com"
1247,Ihor Sakalo Romanovych,"December 20, 1991","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Private,Battalion 1,"https://example10.com, https://example7.com, https://example5.com, https://example4.com, https://example2.com, https://example1.com"
1248,Mykola Zinchenko Mykhailovych,"June 25, 1981",Lviv Oblast,Donetsk Oblast,Lieutenant,Infantry,"https://example4.com, https://example4.com, https://example6.com, https://example5.com, https://example10.com, https://example7.com, https://example5.com"
1249,Oleh Kovalenko Yuriyovych,"April 14, 1989",Lviv Oblast,Lviv Oblast,Major,Unknown,"https://example4.com, https://example8.com, https://example3.com, https://example1.com, https://example4.com"
1250,Volodymyr Hrytsenko Romanovych,"August 25, 1974",Lviv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Battalion 1,"https://example1.com, https://example4.com, https://example8.com, https://example10.com, https://example7.com"
1251,Mykola Bondarenko Volodymyrovych,"March 24, 1992","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lviv Oblast,Senior soldier,Unknown,"https://example9.com, https://example2.com, https://example3.com"
1252,Mykola Tkachuk Romanovych,"April 12, 1962","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Zhytomyr Oblast,Senior soldier,Recon Squad,"https://example7.com, https://example7.com, https://example4.com, https://example2.com, https://example9.com, https://example2.com, https://example9.com"
1253,Roman Kovalenko Ivanovych,"October 27, 1987","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Donetsk Oblast,Major,Special Forces,"https://example5.com, https://example4.com, https://example10.com, https://example5.com, https://example9.com, https://example10.com, https://example2.com, https://example3.com"
